date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-05-17,medhavy,02-what-is-an-intelligent-textbook,5823,~25,3,yes,2,no,"The IDK-IDK mechanism: engagement metrics decouple from learning when the chatbot becomes the relationship",0
2026-05-17,medhavy,03-when-anki-is-enough,5747,~18,2,yes,2,no,"Complexity threshold test: three conditions (adaptive sequencing / live instrumentation / multi-layered capability) determine when full architecture is warranted",0
2026-05-17,medhavy,04-the-evidence-base,7235,~30,3,yes,2,no,"Butter Knife Fallacy: judging the scalpel's potential by observing its average misuse; the Bastani GPT Base vs Tutor finding shows the guardrail design is the variable",0
2026-05-17,medhavy,05-the-four-layers,5150,~22,2,yes,3,no,"Bolt-on failure: seven signals require integration the assembled-tools approach cannot produce; the layers are a loop not a stack",0
2026-05-17,medhavy,06-the-measurement-layer,7723,~28,4,yes,2,no,"Decoupling problem: the artifact is no longer evidence of the process; seven GLP components reconstruct the friction signature that genuine learning leaves",0
2026-05-17,medhavy,07-the-four-modes,5881,~26,3,yes,3,no,"Phase gates as measurement decisions: each mode is gated on a specific GLP signal so the mode arrives when the learner is ready for it",0
2026-05-17,medhavy,08-the-adaptive-engine,7038,~24,0,yes,3,no,"Within-learner contextual bandit: Thompson sampling over (mode × concept × time) cells with GLP-based reward; cross-learner generalization is outside the engine's scope by design",0
2026-05-17,medhavy,09-the-curriculum-design-layer,7093,~22,1,yes,2,no,"Backward design as the curriculum instrument: outcomes first, assessment second, content structure third — the concept map the engine needs cannot emerge from topic coverage",0
2026-05-17,medhavy,10-the-content-layer,7101,~26,0,yes,3,no,"Cost-collapse asymmetry: AI content at marginal cost lowers burden of proof for low-risk content while leaving it unchanged for high-risk content",0
2026-05-17,medhavy,11-the-economics,5780,~20,1,yes,2,no,"Binding-cost shift: when production cost collapses the binding constraint shifts to knowledge of the individual learner; cheap content makes PCK more valuable not less",0
2026-05-17,medhavy,12-what-the-platform-does-not-know-yet,6901,~18,3,yes,1,no,"Eight open questions as instrumented research bets: the platform is the experimental apparatus the questions are designed to answer",0
2026-05-17,medhavy,13-the-design-conversation,5852,~16,2,yes,2,no,"The map requires the thinking: Medhavy the instrument amplifies the design conversation the human conducts; the tool cannot replace it",0
2026-05-27,medhavy,01-the-failure-that-looks-like-success,3492,5,1,yes,0,no,"The wrapper-is-the-variable principle — same GPT-4 model, prompt-level guardrail alone produced the Bastani 17-point gap, making architectural commitments the unit of analysis rather than the underlying model",0
2026-05-27,medhavy,02-ai-plus-one-better-textbook,4409,8,0,yes,0,no,"The three-question sufficiency test (scale / measurement-need / willingness-to-act) as the load-bearing institutional diagnostic — any 'no' sends the reader to the simpler Kindle-only stack",0
2026-05-27,medhavy,03-ask-ai,4639,10,0,yes,0,no,"Three commitments stack — RAG grounding + hints-not-answers + calibrated assistance — implementing the generation effect in software while staying inside the Koedinger-Aleven inverted-U of the assistance dilemma",0
2026-05-27,medhavy,04-quiz-me,4973,10,0,yes,0,no,"Four Quiz Me differentiators over Anki (concept-map integration, priority weighting, aviation override, prerequisite interleaving) plus the habit-loop institutional-commitment requirement that makes Question 3 concrete",0
2026-05-27,medhavy,05-case-study-and-glimmer,4181,11,3,yes,0,no,"The assistance dilemma — why graduated hints solve the offload/shutdown trade-off at scale (Koedinger & Aleven 2007 with Hattie-Timperley feedback layer)",0
2026-05-27,medhavy,06-what-canvas-measures,3373,9,1,yes,0,no,"Same engagement metrics, opposite learning outcomes — the wrapper is the variable; Canvas measures administration, not learning",0
2026-05-27,medhavy,07-the-seven-signals,3935,16,0,yes,0,no,"Prediction-error encoding — why bypassing the prediction (via borrowed AI certainty) bypasses the encoding signal that produces durable learning",0
2026-05-27,medhavy,08-the-loop,4167,13,0,yes,0,no,"The choice of reward signal — delayed retrieval at seven days vs immediate accuracy — is what makes Medhavy's loop architecturally different from existing adaptive systems",0
2026-05-27,medhavy,09-when-kindle-is-enough,3778,6,0,yes,0,no,"The Q3 willingness-to-act condition decomposed into three concrete subcomponents (named owner, budgeted time, political precommitment) — what 'willing' actually requires institutionally",0
2026-05-27,medhavy,10-adding-medhavy-to-canvas,4363,7,4,yes,0,no,"The LTI handshake reduced to 'Canvas vouches, Medhavy trusts the vouch, grades flow back the same way' — technical setup measured in days, institutional approval in months",0
2026-05-27,medhavy,11-the-adoption-decision,5034,6,0,yes,0,no,"The six-field hybrid decision tool with side-by-side AI+1-only vs +Medhavy comparison table, plus a three-sentences-plus-one-question pitch structure for budget committees",0
